Ranking	Baseline Rate	CM Rate	Number of States	Cmu	Lopt
343	0.81	0.83	5.0	1.15071	4.0
344	0.757	0.757	2.0	0.830717	1.0
345	0.865	0.951	2.0	0.64846	1.0
346	0.851	0.872	2.0	0.714349	1.0
347	0.76	0.839	2.0	0.71974	1.0
348	0.859	0.857	12.0	2.80074	6.0
349	0.851	0.851	1.0	-0.0	1.0
350	0.863	0.867	4.0	1.54499	2.0
351	0.942	0.942	2.0	0.245678	1.0
352	0.893	0.935	2.0	0.40499	1.0
353	0.723	0.72	52.0	4.77978	9.0
354	0.818	0.795	238.0	4.37788	10.0
355	0.842	0.848	5.0	1.10865	4.0
356	0.795	0.839	4.0	1.17765	2.0
357	0.771	0.854	2.0	0.825228	1.0
358	0.856	0.869	2.0	0.544757	1.0
359	0.844	0.911	2.0	0.579032	1.0
360	0.76	0.76	2.0	0.784924	1.0
361	0.753	0.778	2.0	0.687876	1.0
362	0.846	0.846	2.0	0.664334	1.0
363	0.913	0.903	4.0	0.863415	10.0
364	0.866	0.862	60.0	3.09526	9.0
365	0.873	0.868	6.0	1.6192	5.0
366	0.752	0.754	2.0	0.736099	1.0
367	0.802	0.917	2.0	0.645162	1.0
368	0.705	0.705	1.0	-0.0	1.0
369	0.771	0.754	105.0	3.15271	9.0
370	0.732	0.845	111.0	4.98866	9.0
371	0.835	0.835	88.0	3.01905	9.0
372	0.877	0.908	2.0	0.457144	1.0
373	0.688	0.688	2.0	0.597718	1.0
374	0.845	0.845	2.0	0.732877	1.0
375	0.814	0.833	4.0	1.25459	2.0
376	0.823	0.845	79.0	4.55249	9.0
377	0.866	0.866	2.0	0.72482	1.0
378	0.794	0.794	2.0	0.549626	1.0
379	0.925	0.944	2.0	0.519322	1.0
380	0.787	0.804	2.0	0.567243	1.0
381	0.875	0.897	5.0	1.14319	4.0
382	0.835	0.835	2.0	0.536209	1.0
383	0.928	0.941	6.0	1.62122	3.0
384	0.923	0.933	149.0	2.82427	10.0
385	0.746	0.746	2.0	0.756729	1.0
386	0.705	0.972	3.0	1.09429	2.0
387	0.721	0.791	44.0	4.43725	8.0
388	0.844	0.84	4.0	1.36135	3.0
389	0.724	0.754	222.0	6.30326	10.0
390	0.773	0.773	116.0	3.09177	9.0
391	0.892	0.892	2.0	0.587383	1.0
392	0.986	0.972	2.0	0.733239	1.0
393	0.83	0.882	2.0	0.656034	1.0
394	0.921	0.921	2.0	0.595583	1.0
395	0.867	0.883	86.0	3.45702	9.0
396	0.487	0.494	146.0	6.07451	10.0
397	0.839	0.839	2.0	0.752375	1.0
398	0.532	0.823	21.0	2.86103	9.0
399	0.672	0.724	4.0	1.72176	2.0
400	0.922	0.908	255.0	4.76601	10.0
401	0.876	0.873	25.0	1.98214	8.0
402	0.641	0.641	87.0	4.07781	9.0
403	0.787	0.756	2.0	0.781985	1.0
404	0.826	0.826	2.0	0.644377	1.0
405	0.867	0.872	4.0	1.17629	2.0
406	0.688	0.688	2.0	0.600736	1.0
407	0.861	0.854	2.0	0.585387	1.0
408	0.821	0.846	4.0	1.46888	2.0
409	0.908	0.883	2.0	0.602018	1.0
410	0.646	0.718	3.0	1.4551	2.0
411	0.618	0.833	2.0	0.683736	1.0
412	0.805	0.811	103.0	3.26017	9.0
413	0.766	0.766	2.0	0.781086	1.0
414	0.85	0.883	2.0	0.339997	1.0
415	0.716	0.782	229.0	6.50742	10.0
416	0.887	0.889	193.0	2.90249	10.0
417	0.867	0.922	2.0	0.652217	1.0
418	0.72	0.752	9.0	2.38864	5.0
419	0.948	0.95	2.0	0.361844	1.0
420	0.855	0.877	19.0	3.29841	6.0
421	0.924	0.919	2.0	0.709786	1.0
422	0.823	0.812	2.0	0.725249	1.0
423	0.906	0.906	2.0	0.523365	1.0
424	0.886	0.9	4.0	1.0237	2.0
425	0.716	0.889	84.0	4.81975	9.0
426	0.859	0.909	2.0	0.596287	1.0
427	0.677	0.707	31.0	3.73115	9.0
428	0.707	0.707	2.0	0.868712	1.0
429	0.752	0.752	1.0	-0.0	1.0
430	0.694	0.744	21.0	4.10162	7.0
431	0.719	0.827	2.0	0.824149	1.0
432	0.591	0.784	58.0	4.7708	9.0
433	0.917	0.917	2.0	0.65785	1.0
434	0.688	0.719	2.0	0.775095	1.0
435	0.872	0.872	2.0	0.586615	1.0
436	0.783	0.783	1.0	-0.0	1.0
437	0.83	0.859	12.0	2.32769	5.0
438	0.874	0.857	187.0	3.29278	10.0
439	0.91	0.91	2.0	0.579706	1.0
440	0.933	0.933	2.0	0.441242	1.0
441	0.922	0.892	232.0	3.81509	10.0
442	0.826	0.859	2.0	0.572634	1.0
443	0.832	0.823	5.0	0.968307	4.0
444	0.885	0.951	2.0	0.332016	1.0
445	0.831	0.839	99.0	2.90653	9.0
446	0.802	0.802	2.0	0.623146	1.0
447	0.867	0.869	2.0	0.56602	1.0
448	0.814	0.848	199.0	3.73478	10.0
449	0.584	0.909	43.0	3.9349	9.0
450	0.785	0.785	2.0	0.720258	1.0
451	0.84	0.84	3.0	0.989079	3.0
452	0.886	0.891	92.0	3.2227	9.0
453	0.89	0.917	2.0	0.543564	1.0
454	0.787	0.795	4.0	1.42069	10.0
455	0.923	0.916	8.0	1.36183	6.0
456	0.725	0.777	88.0	4.51189	9.0
457	0.467	0.464	129.0	5.01433	10.0
458	0.8	0.8	2.0	0.715634	1.0
459	0.862	0.891	4.0	1.00516	3.0
460	0.723	0.875	2.0	0.430821	1.0
461	0.812	0.812	2.0	0.675158	1.0
462	0.694	0.839	16.0	2.78588	5.0
463	0.572	0.712	7.0	2.47648	4.0
464	0.773	0.903	37.0	3.33035	8.0
465	0.84	0.84	2.0	0.577341	1.0
466	0.859	0.859	2.0	0.521764	1.0
467	0.826	0.856	2.0	0.66576	1.0
468	0.893	0.94	18.0	1.27096	7.0
469	0.794	0.794	2.0	0.843304	1.0
470	0.817	0.84	4.0	1.27513	2.0
471	0.898	0.873	2.0	0.655795	1.0
472	0.912	0.914	5.0	1.52868	4.0
473	0.929	0.929	1.0	-0.0	1.0
474	0.809	0.791	232.0	5.47603	10.0
475	0.614	0.616	192.0	6.1656	10.0
476	0.86	0.86	2.0	0.766956	1.0
477	0.692	0.692	2.0	0.871444	1.0
478	0.71	0.74	36.0	3.26716	8.0
479	0.845	0.845	2.0	0.66576	1.0
480	0.819	0.819	2.0	0.601964	1.0
481	0.799	0.799	2.0	0.492374	1.0
482	0.792	0.799	2.0	0.770711	1.0
483	0.769	0.819	32.0	4.07468	7.0
484	0.57	0.609	5.0	1.36214	4.0
485	0.718	0.738	11.0	2.87205	6.0
486	0.775	0.775	2.0	0.704512	1.0
487	0.714	0.768	4.0	1.33538	2.0
488	0.979	0.979	2.0	0.311315	1.0
489	0.788	0.788	2.0	0.67283	1.0
490	0.831	0.858	49.0	2.78881	8.0
491	0.925	0.925	2.0	0.436137	1.0
492	0.871	0.871	2.0	0.624159	1.0
493	0.913	0.913	2.0	0.72334	1.0
494	0.928	0.926	4.0	1.19468	2.0
495	0.885	0.885	2.0	0.62319	1.0
496	0.778	0.778	8.0	1.13725	7.0
497	0.911	0.917	2.0	0.554168	1.0
498	0.898	0.896	2.0	0.56582	1.0
499	0.708	0.708	2.0	0.88256	1.0
500	0.924	0.938	2.0	0.493567	1.0
501	0.855	0.88	4.0	1.00202	2.0
502	0.769	0.769	2.0	0.884914	1.0
503	0.881	0.895	14.0	1.8199	6.0
504	0.695	0.735	117.0	5.36484	9.0
505	0.804	0.821	7.0	1.40517	5.0
506	0.785	0.785	2.0	0.567072	1.0
507	0.897	0.903	4.0	1.16625	2.0
508	0.882	0.878	4.0	1.24439	2.0
509	0.825	0.825	2.0	0.563567	1.0
510	0.812	0.812	2.0	0.576549	1.0
511	0.885	0.885	2.0	0.549492	1.0
512	0.856	0.856	2.0	0.644674	1.0
513	0.865	0.863	4.0	1.33682	2.0
514	0.875	0.87	218.0	2.84473	10.0
515	0.685	0.744	67.0	1.77502	8.0
516	0.908	0.923	2.0	0.425716	1.0
517	0.382	0.868	39.0	3.55172	8.0
518	0.773	0.792	4.0	1.50771	2.0
519	0.957	0.967	6.0	0.976112	5.0
520	0.851	0.851	2.0	0.583927	1.0
521	0.771	0.829	2.0	0.799437	1.0
522	0.706	0.706	2.0	0.933602	1.0
523	0.894	0.894	2.0	0.495689	1.0
524	0.971	0.971	2.0	0.29932	1.0
525	0.613	0.824	5.0	2.05704	4.0
526	0.77	0.802	4.0	1.20791	2.0
527	0.701	0.867	137.0	5.22877	10.0
528	0.738	0.835	45.0	4.19263	6.0
529	0.712	0.751	15.0	2.03288	8.0
530	0.872	0.87	2.0	0.612441	1.0
531	0.766	0.766	34.0	3.49221	8.0
532	0.82	0.826	112.0	4.49498	10.0
533	0.856	0.856	2.0	0.531752	1.0
534	0.936	0.936	2.0	0.525004	1.0
535	0.964	0.948	2.0	0.445757	1.0
536	0.808	0.808	2.0	0.735871	1.0
537	0.527	0.591	5.0	2.25272	4.0
538	0.819	0.868	2.0	0.849195	1.0
539	0.725	0.733	3.0	0.877104	2.0
540	0.808	0.808	2.0	0.520892	1.0
541	0.833	0.833	2.0	0.649496	1.0
542	0.839	0.839	2.0	0.8177	1.0
543	0.816	0.812	177.0	3.51791	10.0
544	0.705	0.729	5.0	1.33245	4.0
545	0.687	0.854	105.0	4.72847	8.0
546	0.687	0.892	79.0	3.93451	10.0
547	0.819	0.819	2.0	0.73649	1.0
548	0.806	0.806	2.0	0.791546	1.0
549	0.867	0.867	2.0	0.667087	1.0
550	0.84	0.84	2.0	0.592902	1.0
551	0.75	0.75	2.0	0.869119	1.0
552	0.804	0.863	9.0	1.47764	5.0
553	0.844	0.833	2.0	0.734781	1.0
554	0.735	0.735	2.0	0.883275	1.0
555	0.873	0.875	2.0	0.50727	1.0
556	0.835	0.835	2.0	0.713608	1.0
557	0.759	0.744	99.0	4.39895	9.0
558	0.89	0.906	55.0	3.77995	10.0
559	0.782	0.816	146.0	5.16728	10.0
560	0.845	0.845	2.0	0.639112	1.0
561	0.974	0.969	2.0	0.363144	1.0
562	0.793	0.805	250.0	4.19739	10.0
563	0.787	0.787	2.0	0.781985	1.0
564	0.899	0.922	107.0	2.78434	10.0
565	0.73	0.82	107.0	3.11443	9.0
566	0.977	0.977	1.0	-0.0	1.0
567	0.824	0.822	6.0	1.39798	5.0
568	0.818	0.818	1.0	-0.0	1.0
569	0.91	0.91	2.0	0.474971	1.0
570	0.65	0.65	1.0	-0.0	1.0
571	0.863	0.863	2.0	0.645162	1.0
572	0.804	0.804	2.0	0.694773	1.0
573	0.865	0.865	2.0	0.562072	1.0
574	0.964	0.964	2.0	0.380118	1.0
575	0.827	0.827	2.0	0.770967	1.0
576	0.904	0.904	2.0	0.757878	1.0
577	0.867	0.871	7.0	0.917618	7.0
578	0.914	0.9	85.0	3.14225	9.0
579	0.744	0.769	14.0	2.32756	8.0
580	0.723	0.723	2.0	0.858835	1.0
581	0.915	0.912	2.0	0.520738	1.0
582	0.828	0.863	9.0	1.03041	8.0
583	0.747	0.793	33.0	4.2522	7.0
584	0.884	0.906	2.0	0.402127	1.0
585	0.904	0.912	2.0	0.62256	1.0
586	0.698	0.696	14.0	2.87866	7.0
587	0.977	0.977	16.0	1.62986	9.0
588	0.819	0.808	2.0	0.710677	1.0
589	0.879	0.879	2.0	0.676213	1.0
590	0.798	0.826	19.0	1.50716	7.0
591	0.773	0.806	2.0	0.723287	1.0
592	0.817	0.817	2.0	0.468335	1.0
593	0.836	0.802	2.0	0.68301	1.0
594	0.781	0.781	2.0	0.429076	1.0
595	0.954	0.944	43.0	3.80704	7.0
596	0.946	0.946	2.0	0.433864	1.0
597	0.881	0.89	2.0	0.490896	1.0
598	0.8	0.8	1.0	-0.0	1.0
599	0.875	0.875	2.0	0.614291	1.0
600	0.866	0.881	3.0	0.856503	9.0
601	0.794	0.786	106.0	3.47481	9.0
602	0.755	0.777	17.0	3.87564	6.0
603	0.822	0.822	212.0	4.33805	10.0
604	0.885	0.919	2.0	0.503258	1.0
605	0.92	0.922	10.0	1.88263	5.0
606	0.907	0.896	3.0	0.610479	2.0
607	0.844	0.844	2.0	0.691599	1.0
608	0.811	0.811	2.0	0.550315	1.0
609	0.882	0.882	2.0	0.522305	1.0
610	0.906	0.911	2.0	0.438806	1.0
611	0.781	0.781	2.0	0.750322	1.0
612	0.858	0.835	2.0	0.660556	1.0
613	0.873	0.882	26.0	1.3181	7.0
614	0.729	0.729	2.0	0.764477	1.0
615	0.915	0.915	2.0	0.478463	1.0
616	0.669	0.692	4.0	0.655303	4.0
617	0.938	0.938	2.0	0.433825	1.0
618	0.819	0.819	2.0	0.696212	1.0
619	0.756	0.756	2.0	0.769758	1.0
620	0.917	0.917	2.0	0.389071	1.0
621	0.844	0.854	26.0	4.08278	7.0
622	0.87	0.87	2.0	0.663906	1.0
623	0.688	0.89	32.0	4.29071	6.0
624	0.685	0.683	36.0	3.9591	8.0
625	0.867	0.938	2.0	0.521222	1.0
626	0.895	0.901	12.0	2.45395	6.0
627	0.871	0.871	2.0	0.677835	1.0
628	0.895	0.908	6.0	1.08563	4.0
629	0.736	0.784	194.0	5.86744	10.0
630	0.869	0.869	2.0	0.419524	1.0
631	0.757	0.833	2.0	0.403436	1.0
632	0.928	0.922	4.0	1.20109	2.0
633	0.944	0.965	2.0	0.614599	1.0
634	0.863	0.863	2.0	0.606513	1.0
635	0.892	0.895	5.0	0.849356	4.0
636	0.656	0.969	2.0	0.630572	1.0
637	0.764	0.764	109.0	2.51971	9.0
638	0.778	0.778	2.0	0.53715	1.0
639	0.953	0.962	2.0	0.37192	1.0
640	0.838	0.838	2.0	0.830765	1.0
641	0.92	0.924	2.0	0.470195	1.0
642	0.841	0.936	57.0	1.76099	9.0
643	0.68	0.798	64.0	4.83983	10.0
644	0.843	0.854	186.0	2.88276	10.0
645	0.971	0.964	2.0	0.438806	1.0
646	0.792	0.792	2.0	0.725485	1.0
647	0.807	0.875	2.0	0.616553	1.0
648	0.927	0.901	2.0	0.597914	1.0
649	0.883	0.883	2.0	0.590585	1.0
650	0.748	0.746	5.0	1.52417	4.0
651	0.974	0.974	2.0	0.421492	1.0
652	0.729	0.807	155.0	5.39253	10.0
653	0.85	0.839	90.0	3.13218	9.0
654	0.774	0.774	2.0	0.721854	1.0
655	0.747	0.883	121.0	5.48306	10.0
656	0.796	0.796	1.0	-0.0	1.0
657	0.925	0.925	2.0	0.532083	1.0
658	0.825	0.825	2.0	0.690002	1.0
659	0.819	0.819	2.0	0.359421	1.0
660	0.948	0.979	2.0	0.367089	1.0
661	0.738	0.763	21.0	4.08104	6.0
662	0.896	0.902	8.0	1.30073	5.0
663	0.871	0.871	2.0	0.76942	1.0
664	0.792	0.842	4.0	1.42115	2.0
665	0.951	0.944	2.0	0.551733	1.0
666	0.848	0.848	2.0	0.633312	1.0
667	0.831	0.831	2.0	0.53896	1.0
668	0.818	0.841	253.0	4.3237	10.0
669	0.811	0.813	6.0	1.06505	7.0
670	0.726	0.813	12.0	2.53546	5.0
671	0.816	0.813	44.0	2.33978	8.0
672	0.908	0.908	2.0	0.458427	1.0
673	0.869	0.863	4.0	1.27363	2.0
674	0.814	0.864	152.0	4.22923	10.0
675	0.774	0.774	1.0	-0.0	1.0
676	0.839	0.843	93.0	4.40823	9.0
677	0.891	0.891	2.0	0.609551	1.0
678	0.782	0.802	234.0	3.96153	10.0
679	0.802	0.802	2.0	0.831775	1.0
680	0.787	0.787	2.0	0.749474	1.0
681	0.84	0.84	2.0	0.625723	1.0
682	0.804	0.804	2.0	0.593267	1.0
683	0.935	0.94	2.0	0.35071	1.0
684	0.289	0.926	4.0	1.42415	2.0
685	0.906	0.906	5.0	0.941545	5.0
686	0.791	0.84	3.0	0.658585	2.0
687	0.851	0.851	2.0	0.51586	1.0
688	0.644	0.722	4.0	1.29681	2.0
689	0.62	0.711	49.0	3.60876	9.0
690	0.77	0.779	211.0	5.03232	10.0
691	0.934	0.934	2.0	0.500835	1.0
692	0.85	0.85	2.0	0.553025	1.0
693	0.775	0.775	2.0	0.718199	1.0
694	0.866	0.866	2.0	0.543042	1.0
695	0.859	0.859	2.0	0.635128	1.0
696	0.943	0.939	181.0	3.33125	10.0
697	0.887	0.887	2.0	0.498363	1.0
698	0.804	0.804	2.0	0.521728	1.0
699	0.809	0.89	47.0	4.81138	10.0
700	0.802	0.802	2.0	0.511389	1.0
701	0.793	0.842	2.0	0.790608	1.0
702	0.946	0.95	2.0	0.372882	1.0
703	0.908	0.908	2.0	0.48786	1.0
704	0.904	0.925	2.0	0.628421	1.0
705	0.756	0.756	2.0	0.604172	1.0
706	0.79	0.79	2.0	0.621947	1.0
707	0.866	0.866	2.0	0.403727	1.0
708	0.607	0.742	37.0	2.95169	8.0
709	0.881	0.881	2.0	0.420053	1.0
710	0.835	0.835	2.0	0.489057	1.0
711	0.886	0.912	98.0	2.38226	9.0
712	0.871	0.871	2.0	0.633822	1.0
713	0.735	0.792	2.0	0.673077	1.0
714	0.783	0.783	1.0	-0.0	1.0
715	0.851	0.851	2.0	0.581974	1.0
716	0.962	0.958	2.0	0.356153	1.0
717	0.906	0.906	2.0	0.541996	1.0
718	0.9	0.9	2.0	0.342356	1.0
719	0.875	0.875	2.0	0.736974	1.0
720	0.907	0.928	4.0	1.11905	2.0
721	0.932	0.932	4.0	0.948387	3.0
722	0.943	0.951	2.0	0.372038	1.0
723	0.901	0.901	2.0	0.411561	1.0
724	0.938	0.958	2.0	0.339679	1.0
725	0.768	0.848	182.0	4.96485	10.0
726	0.757	0.817	9.0	2.2249	5.0
727	0.868	0.868	2.0	0.651317	1.0
728	0.909	0.924	2.0	0.469916	1.0
729	0.835	0.835	1.0	-0.0	1.0
730	0.956	0.956	2.0	0.357313	1.0
731	0.895	0.902	3.0	0.664291	2.0
732	0.887	0.887	2.0	0.475682	1.0
733	0.823	0.823	2.0	0.816618	1.0
734	0.844	0.844	2.0	0.595048	1.0
735	0.922	0.93	15.0	1.20685	7.0
736	0.921	0.921	2.0	0.565408	1.0
737	0.911	0.911	2.0	0.388163	1.0
738	0.717	0.717	2.0	0.361075	1.0
739	0.948	0.929	2.0	0.456128	1.0
740	0.903	0.903	2.0	0.585617	1.0
741	0.889	0.885	147.0	2.37368	10.0
742	0.989	0.989	74.0	2.73892	9.0
743	0.961	0.961	2.0	0.610775	1.0
744	0.898	0.898	2.0	0.45673	1.0
745	0.882	0.882	2.0	0.557499	1.0
746	0.602	0.739	12.0	2.73131	6.0
747	0.796	0.796	2.0	0.588587	1.0
748	0.755	0.755	2.0	0.860301	1.0
749	0.765	0.765	2.0	0.595048	1.0
750	0.889	0.889	2.0	0.440283	1.0
